CLUB,COUNT
Esteghlal Tehran FC (IRN),3
Brøndby IF (DEN),2
OGC Nice (FRA),2
Southampton FC (ENG),2
SV Werder Bremen (GER),2
Al Rayyan SC (QAT),2
Sheeld United FC (ENG),2
Birmingham City FC (ENG),2
RC Strasbourg (FRA),2
Al Arabi SC (QAT),2
Al Ahli SC (KSA),2
Montpellier HSC (FRA),2
Al Wehda FC (KSA),2
SC Braga (POR),2
Club Africain (TUN),2
Spezia Calcio (ITA),2
Legia Warsaw (POL),2
Bournemouth AFC (ENG),2
ES Troyes (FRA),2
Abha Club (KSA),2
Club Santos Laguna (MEX),2
FC Luzern (SUI),2
Real Valladolid CF (ESP),2
Crystal Palace FC (ENG),2
Kayserispor (TUR),2
Luton Town FC (ENG),2
CD Guadalajara (MEX),2
Lille OSC (FRA),2
CA Osasuna (ESP),2
Kawasaki Frontale (JPN),2
Queens Park Rangers FC (ENG),2
Fenerbahce SK (TUR),2
RSC Anderlecht (BEL),2
Odense BK (DEN),2
Al Ittihad FC (KSA),2
Dundee United FC (SCO),2
Sunderland AFC (ENG),2
Melbourne City FC (AUS),2
Cardiff City FC (WAL),2
CA River Plate (ARG),2
Olympique Lyon (FRA),2
Nashville Soccer Club (USA),2
Angers SCO (FRA),2
Bologna FC (ITA),2
SS Lazio (ITA),2
Trabzonspor (TUR),2
TSG 1899 Hoffenheim (GER),2
RCD Mallorca (ESP),2
Getafe CF (ESP),2
RC Celta Vigo (ESP),2
FC Seoul (KOR),2
Sepahan FC (IRN),2
Clermont Foot (FRA),2
Al Ahli SC (QAT),2
Al Kuwait SC (KUW),2
FC Basel (SUI),2
Lech Poznan (POL),1
Stade Brest (FRA),1
Cádiz CF (ESP),1
Albirex Niigata (JPN),1
Qatar SC (QAT),1
CD Leganés (ESP),1
Cercle Brugge (BEL),1
FC Juárez (MEX),1
Benevento Calcio (ITA),1
Toulouse FC (FRA),1
US Cremonese (ITA),1
Houston Dynamo (USA),1
SC Heerenveen (NED),1
Daejeon Citizen FC (KOR),1
Charlotte FC (USA),1
Pogon Szczecin (POL),1
Al Ahly SC (EGY),1
CS Sfaxien (TUN),1
SM Caen (FRA),1
Étoile Du Sahel (TUN),1
Zamalek SC (EGY),1
New York City FC (USA),1
Antalyaspor AS (TUR),1
New York Red Bulls (USA),1
Norwich City FC (ENG),1
Sint-Truiden VV (BEL),1
Inter Miami FC (USA),1
CA Independiente (ARG),1
Orlando City SC (USA),1
LA Galaxy (USA),1
Athletico Paranaense (BRA),1
CA Velez Sarseld (ARG),1
AFC Wimbledon (ENG),1
US Monastir (TUN),1
FC Lugano (SUI),1
Gimcheon Sangmu FC (KOR),1
Rayo Vallecano (ESP),1
Al Wakrah SC (QAT),1
Al Fateh SC (KSA),1
St Johnstone FC (SCO),1
Hibernian FC (SCO),1
Stoke City FC (ENG),1
Amiens SC (FRA),1
Pafos FC (CYP),1
Watford FC (ENG),1
Gamba Osaka (JPN),1
Alanyaspor (TUR),1
Chicago Fire (USA),1
PAOK Saloniki (GRE),1
St Mirren FC (SCO),1
Nagoya Grampus (JPN),1
Shandong Luneng Taishan FC (CHN),1
Daegu FC (KOR),1
Urawa Reds (JPN),1
Swindon Town FC (ENG),1
Shimizu S-Pulse (JPN),1
Puntarenas FC (CRC),1
Vancouver Whitecaps FC (CAN),1
Minnesota United FC (USA),1
Panetolikos FC (GRE),1
FC Dallas (USA),1
Colorado Rapids (USA),1
Real Salt Lake (USA),1
Konyaspor (TUR),1
AD San Carlos (CRC),1
CD Lugo (ESP),1
GD Chaves (POR),1
AD Municipal Grecia (CRC),1
FC Cincinnatti (USA),1
Millonarios FC (COL),1
AD Guanacasteca (CRC),1
HNK Hajduk Split (CRO),1
Columbus Crew SC (USA),1
US Sassuolo (ITA),1
NK Osijek (CRO),1
KMSR Deinze (BEL),1
Coton Sport FC (CMR),1
Fortuna Düsseldorf (GER),1
UD Almería (ESP),1
SD Aucas (ECU),1
FC St. Pauli (GER),1
Adelaide United FC (AUS),1
Middlesbrough FC (ENG),1
Fagiano Okayama (JPN),1
Sydney FC (AUS),1
Standard Liège (BEL),1
FC Zenit St. Petersburg (RUS),1
SE Palmeiras (BRA),1
Al Tai FC (KSA),1
Pumas UNAM (MEX),1
Colombe Sportive (CMR),1
Aris Thessaloniki FC (GRE),1
Hannover 96 (GER),1
FC Dynamo Moscow (RUS),1
KV Mechelen (BEL),1
Shanghai Shenhua FC (CHN),1
Philadelphia Union (USA),1
Rangers FC (SCO),1
Brescia Calcio (ITA),1
SL Benfica (POR),1
Vejle BK (DEN),1
Asante Kotoko SC (GHA),1
AJ Auxerre (FRA),1
KAS Eupen (BEL),1
Hearts Of Oak SC (GHA),1
FC St. Gallen (SUI),1
Persepolis FC (IRN),1
SD Ponferradina (ESP),1
Shabab Al Ahli Club (UAE),1
AC Omonia (CYP),1
Hertha BSC (GER),1
Sporting Charleroi (BEL),1
SSC Bari (ITA),1
FC Schalke 04 (GER),1
FC Tokyo (JPN),1
Shonan Bellmare (JPN),1
VfL Bochum (GER),1
Stade Reims (FRA),1
Real Sociedad (ESP),1
Udinese (ITA),1
Ferencvárosi TC (HUN),1
KAA Gent (BEL),1
FC Lorient (FRA),1
RCD Espanyol (ESP),1
1. FC Union Berlin (GER),1
Independiente Del Valle (ECU),1
CA Talleres (ARG),1
CA Newells Old Boys (ARG),1
Imbabura SC (ECU),1
Sao Paulo FC (BRA),1
LDU Quito (ECU),1
Bristol City FC (ENG),1
Hatayspor (TUR),1
Hudderseld Town FC (ENG),1
Portsmouth FC (ENG),1
MK Dons FC (ENG),1
Al Ettifaq FC (KSA),1
1. FC Köln (GER),1
Atromitos FC (GRE),1
FC Nantes (FRA),1
Burnley FC (ENG),1
