OID_,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long
98,32,32,Brazil,BR,Brazil,BR,248.7567149,548,Portugal,3,Defender,PEPE,Kepler Laveran,DE LIMA FERREIRA,PEPE,2/26/1983 0:00,FC Porto (POR),188,"Maceió, Brazil",-9.6660417,-35.7352167
99,32,32,Brazil,BR,Brazil,BR,248.7567149,91,Brazil,13,Defender,DANI ALVES,Daniel,ALVES DA SILVA,DANI ALVES,5/6/1983 0:00,Pumas UNAM (MEX),172,"Juazeiro, Bahia, Brazil",-9.4312697,-40.5078709
100,6,6,Angola,AO,Angola,AO,58.8734698,559,Portugal,14,Midfielder,WILLIAM CARVALHO,William,SILVA DE CARVALHO,WILLIAM,4/7/1992 0:00,Real Betis (ESP),190,"Luanda, Angola",-8.8146556,13.2301756
101,32,32,Brazil,BR,Brazil,BR,248.7567149,570,Portugal,25,Midfielder,OTAVIO,Otávio Edmilson,DA SILVA MONTEIRO,OTÁVIO,2/9/1995 0:00,FC Porto (POR),172,"João Pessoa, Brazil",-7.1188352,-34.8814339
102,6,6,Angola,AO,Angola,AO,58.8734698,311,France,25,Midfielder,CAMAVINGA Eduardo,Eduardo Celmi,CAMAVINGA,CAMAVINGA,11/10/2002 0:00,Real Madrid CF (ESP),182,"Cabinda, Angola",-5.5705739,12.197583
103,54,54,Congo DRC,CD,"Congo, The Democratic Republic of the",CD,83.43164509,302,France,16,Goalkeeper,MANDANDA Steve,Steve,MANDANDA MPIDI,MANDANDA,3/28/1985 0:00,Stade Rennais FC (FRA),187,"Kinshasa, Zaire",-4.4419311,15.2662931
104,67,67,Ecuador,EC,Ecuador,EC,35.22053673,255,Ecuador,21,Midfielder,FRANCO Alan,Alan Steven,FRANCO PALMA,FRANCO,8/21/1998 0:00,CA Talleres (ARG),175,"Jujan, Ecuador",-1.8907804,-79.5550787
105,119,119,Kenya,KE,Kenya,KE,33.61267873,46,Australia,20,Defender,DENG Thomas,Thomas Jok,DENG,DENG,3/20/1997 0:00,Albirex Niigata (JPN),178,"Nairobi, Kenya",-1.2920659,36.8219462
106,67,67,Ecuador,EC,Ecuador,EC,35.22053673,242,Ecuador,8,Midfielder,GRUEZO Carlos,Carlos Armando,GRUEZO ARVOLEDA,GRUEZO,4/19/1995 0:00,FC Augsburg (GER),172,"Santo Domingo, Ecuador",-0.2538414,-79.1763307
107,67,67,Ecuador,EC,Ecuador,EC,35.22053673,257,Ecuador,23,Midfielder,CAICEDO Moises,Moises Isaac,CAICEDO COROZO,CAICEDO,11/2/2001 0:00,Brighton & Hove Albion FC (ENG),178,"Santo Domingo, Ecuador",-0.2538414,-79.1763307
108,67,67,Ecuador,EC,Ecuador,EC,35.22053673,251,Ecuador,17,Defender,PRECIADO Angelo,Angelo Smit,PRECIADO QUIÑONEZ,ANGELO,2/18/1998 0:00,KRC Genk (BEL),174,"Shushufindi, Ecuador",-0.1882903,-76.6421554
109,67,67,Ecuador,EC,Ecuador,EC,35.22053673,258,Ecuador,24,Forward,REASCO Djorkaeff,Djorkaeff Neicer,REASCO GONZALEZ,REASCO,1/18/1999 0:00,CA Newells Old Boys (ARG),172,"Quito, Ecuador",-0.1806532,-78.4678382
110,67,67,Ecuador,EC,Ecuador,EC,35.22053673,240,Ecuador,6,Defender,PACHO William,William Joel,PACHO TENORIO,PACHO,10/16/2001 0:00,Royal Antwerp FC (BEL),188,"Quinindé, Ecuador",0.3268809,-79.4647633
111,67,67,Ecuador,EC,Ecuador,EC,35.22053673,244,Ecuador,10,Midfielder,IBARRA Romario,Romario Andres,IBARRA MINA,IBARRA,9/24/1994 0:00,CF Pachuca (MEX),175,"Atuntaqui, Ecuador",0.3323852,-78.2162833
112,67,67,Ecuador,EC,Ecuador,EC,35.22053673,260,Ecuador,26,Forward,RODRIGUEZ Kevin,Kevin Jose,RODRIGUEZ CORTEZ,K. RODRIGUEZ,3/4/2000 0:00,Imbabura SC (ECU),190,"Ibarra, Ecuador",0.3471469,-78.1323648
113,67,67,Ecuador,EC,Ecuador,EC,35.22053673,254,Ecuador,20,Midfielder,MENDEZ Jhegson,Jhegson Sebastián,MÉNDEZ CARABALÍ,MENDEZ,4/26/1997 0:00,Los Angeles FC (USA),175,"Mira, Ecuador",0.5502202,-78.0409416
114,67,67,Ecuador,EC,Ecuador,EC,35.22053673,237,Ecuador,3,Defender,HINCAPIE Piero,Piero Martin,HINCAPIE REYNA,HINCAPIE,1/9/2002 0:00,Bayer 04 Leverkusen (GER),183,"Esmeraldas, Ecuador",0.9681789,-79.6517202
115,67,67,Ecuador,EC,Ecuador,EC,35.22053673,238,Ecuador,4,Defender,ARBOLEDA Robert,Robert Abel,ARBOLEDA ESCOBAR,ARBOLEDA,10/22/1991 0:00,Sao Paulo FC (BRA),189,"Esmeraldas, Ecuador",0.9681789,-79.6517202
116,67,67,Ecuador,EC,Ecuador,EC,35.22053673,239,Ecuador,5,Midfielder,CIFUENTES Jose,Jose Adoni,CIFUENTES CHARCOPA,CIFUENTES,3/12/1999 0:00,Los Angeles FC (USA),178,"Esmeraldas, Ecuador",0.9681789,-79.6517202
117,67,67,Ecuador,EC,Ecuador,EC,35.22053673,241,Ecuador,7,Defender,ESTUPINAN Pervis,Pervis Josue,ESTUPIÑÁN TENORIO,ESTUPIÑAN,1/21/1998 0:00,Brighton & Hove Albion FC (ENG),175,"Esmeraldas, Ecuador",0.9681789,-79.6517202
118,67,67,Ecuador,EC,Ecuador,EC,35.22053673,243,Ecuador,9,Midfielder,PRECIADO Ayrton,Eduar Ayrton,PRECIADO GARCIA,AYRTON P.,7/17/1994 0:00,Club Santos Laguna (MEX),181,"Esmeraldas, Ecuador",0.9681789,-79.6517202
119,67,67,Ecuador,EC,Ecuador,EC,35.22053673,247,Ecuador,13,Forward,VALENCIA Enner,Enner Remberto,VALENCIA LASTRA,VALENCIA,11/4/1989 0:00,Fenerbahce SK (TUR),177,"Esmeraldas, Ecuador",0.9681789,-79.6517202
120,67,67,Ecuador,EC,Ecuador,EC,35.22053673,256,Ecuador,22,Goalkeeper,DOMINGUEZ Alexander,Alexander,DOMINGUEZ CARABALI,DOMINGUEZ,6/5/1987 0:00,LDU Quito (ECU),195,"Esmeraldas, Ecuador",0.9681789,-79.6517202
121,67,67,Ecuador,EC,Ecuador,EC,35.22053673,236,Ecuador,2,Defender,TORRES Felix,Felix Eduardo,TORRES CAICEDO,TORRES,1/11/1997 0:00,Club Santos Laguna (MEX),187,"San Lorenzo, Ecuador",1.2694769,-78.8439268
122,67,67,Ecuador,EC,Ecuador,EC,35.22053673,259,Ecuador,25,Defender,POROZO Jackson,Jackson Gabriel,POROZO VERNAZA,POROZO,8/4/2000 0:00,ES Troyes (FRA),191,"San Lorenzo, Ecuador",1.2694769,-78.8439268
123,119,119,Kenya,KE,Kenya,KE,33.61267873,37,Australia,11,Forward,MABIL Awer,Awer Bul,MABIL,MABIL,9/15/1995 0:00,Cádiz CF (ESP),179,"Kakuma, Kenya",3.7167637,34.8568982
124,41,41,Cameroon,CM,Cameroon,CM,41.96059557,106,Cameroon,2,Defender,NGOM MBEKELI Jerome,Jerome,NGOM MBEKELI,NGOM,9/30/1998 0:00,Colombe Sportive (CMR),174,"Yaoundé, Cameroon",3.8480325,11.5020752
125,41,41,Cameroon,CM,Cameroon,CM,41.96059557,107,Cameroon,3,Defender,NKOULOU Nicolas,Nicolas Julio,NKOULOU NDOUBENA,NKOULOU,3/27/1990 0:00,Aris Thessaloniki FC (GRE),185,"Yaoundé, Cameroon",3.8480325,11.5020752
126,41,41,Cameroon,CM,Cameroon,CM,41.96059557,109,Cameroon,5,Midfielder,ONDOUA Gael,Gael,BELLA ONDOUA,ONDOUA,11/4/1995 0:00,Hannover 96 (GER),185,"Yaoundé, Cameroon",3.8480325,11.5020752
127,41,41,Cameroon,CM,Cameroon,CM,41.96059557,110,Cameroon,6,Forward,MOUMI NGAMALEU Nicolas,Nicolas Brice,MOUMI NGAMALEU,NGAMALEU,7/9/1994 0:00,FC Dynamo Moscow (RUS),181,"Yaoundé, Cameroon",3.8480325,11.5020752
128,41,41,Cameroon,CM,Cameroon,CM,41.96059557,112,Cameroon,8,Midfielder,ZAMBO ANGUISSA Andre-Frank,Andre Frank,ZAMBO ANGUISSA,ANGUISSA,11/16/1995 0:00,SSC Napoli (ITA),184,"Yaoundé, Cameroon",3.8480325,11.5020752
129,41,41,Cameroon,CM,Cameroon,CM,41.96059557,114,Cameroon,10,Forward,ABOUBAKAR Vincent,Vincent,ABOUBAKAR,ABOUBAKAR,1/22/1992 0:00,Al Nassr FC (KSA),176,"Yaoundé, Cameroon",3.8480325,11.5020752
130,41,41,Cameroon,CM,Cameroon,CM,41.96059557,122,Cameroon,18,Midfielder,HONGLA Martin,Martin,HONGLA YMA II,HONGLA,3/16/1998 0:00,Hellas Verona FC (ITA),182,"Yaoundé, Cameroon",3.8480325,11.5020752
131,41,41,Cameroon,CM,Cameroon,CM,41.96059557,338,Germany,26,Forward,MOUKOKO Youssoufa,Youssoufa,MOUKOKO,MOUKOKO,11/20/2004 0:00,Borussia Dortmund (GER),179,"Yaoundé, Cameroon",3.8480325,11.5020752
132,41,41,Cameroon,CM,Cameroon,CM,41.96059557,708,Switzerland,7,Forward,EMBOLO Breel,Breel Donald,EMBOLO,EMBOLO,2/14/1997 0:00,AS Monaco (FRA),184,"Yaoundé, Cameroon",3.8480325,11.5020752
133,41,41,Cameroon,CM,Cameroon,CM,41.96059557,118,Cameroon,14,Midfielder,OUM GOUET Samuel,Samuel Yves,OUM GOUET,OUM,12/14/1997 0:00,KV Mechelen (BEL),185,"Ayos, Cameroon",3.9056609,12.5269347
134,41,41,Cameroon,CM,Cameroon,CM,41.96059557,119,Cameroon,15,Midfielder,KUNDE Pierre,Pierre,KUNDE MALONG,KUNDE MALONG,7/26/1995 0:00,Olympiacos Piraeus FC (GRE),180,"Limbe, Cameroon",4.0224656,9.1954432
135,41,41,Cameroon,CM,Cameroon,CM,41.96059557,113,Cameroon,9,Forward,NSAME Jean-Pierre,Jean Pierre Junior,NSAME,NSAME,5/1/1993 0:00,BSC Young Boys (SUI),188,"Douala, Cameroon",4.0510564,9.7678687
136,41,41,Cameroon,CM,Cameroon,CM,41.96059557,115,Cameroon,11,Forward,BASSOGOG Christian,Christian,MOUGANG BASSOGOG,BASSOGOG,10/18/1995 0:00,Shanghai Shenhua FC (CHN),178,"Douala, Cameroon",4.0510564,9.7678687
137,41,41,Cameroon,CM,Cameroon,CM,41.96059557,121,Cameroon,17,Defender,MBAIZO Olivier,Olivier,MBAISSIDARA MBAIZO,MBAIZO,8/15/1997 0:00,Philadelphia Union (USA),178,"Douala, Cameroon",4.0510564,9.7678687
138,41,41,Cameroon,CM,Cameroon,CM,41.96059557,129,Cameroon,25,Defender,NOUHOU Tolo,Tolo,NOUHOU,NOUHOU,6/23/1997 0:00,Seattle Sounders FC (USA),178,"Douala, Cameroon",4.0510564,9.7678687
139,57,57,Côte d'Ivoire,CI,Côte d'Ivoire,CI,31.57675156,145,Canada,15,Midfielder,KONE Ismael,Ismael Kenneth Jordan,KONE,KONE,6/16/2002 0:00,CF Montréal (CAN),188,"Abidjan, Ivory Coast",5.3599517,-4.0082563
140,87,87,Ghana,GH,Ghana,GH,23.01366355,149,Canada,19,Forward,DAVIES Alphonso,Alphonso Boyle,DAVIES,DAVIES,11/2/2000 0:00,FC Bayern München (GER),183,"Buduburam, Ghana",5.5247986,-0.4738293
141,87,87,Ghana,GH,Ghana,GH,23.01366355,362,Ghana,24,Midfielder,SOWAH Kamal,Kamal,SOWAH,SOWAH,1/9/2000 0:00,Club Brugge (BEL),179,"Sabon Zango, Ghana",5.5524939,-0.2350201
142,87,87,Ghana,GH,Ghana,GH,23.01366355,346,Ghana,8,Midfielder,KYEREH Daniel-Ko,Daniel-Ko,KYEREH,KYERE,3/8/1996 0:00,SC Freiburg (GER),179,"Accra, Ghana",5.6037168,-0.1869644
143,87,87,Ghana,GH,Ghana,GH,23.01366355,349,Ghana,11,Midfielder,BUKARI Osman,Osman,BUKARI,OSMAN,12/13/1998 0:00,FK Crvena Zvezda (SRB),170,"Accra, Ghana",5.6037168,-0.1869644
144,87,87,Ghana,GH,Ghana,GH,23.01366355,350,Ghana,12,Goalkeeper,DANLAD Ibrahim,Danlad,IBRAHIM,DANLAD,12/2/2002 0:00,Asante Kotoko SC (GHA),181,"Accra, Ghana",5.6037168,-0.1869644
145,87,87,Ghana,GH,Ghana,GH,23.01366355,352,Ghana,14,Defender,MENSAH Gideon,Gideon,MENSAH,MENSAH,7/18/1998 0:00,AJ Auxerre (FRA),178,"Accra, Ghana",5.6037168,-0.1869644
146,87,87,Ghana,GH,Ghana,GH,23.01366355,354,Ghana,16,Goalkeeper,NURUDEEN Manaf,Abdul Manaf,NURUDEEN,MANAF,2/8/1999 0:00,KAS Eupen (BEL),190,"Accra, Ghana",5.6037168,-0.1869644
147,87,87,Ghana,GH,Ghana,GH,23.01366355,356,Ghana,18,Defender,AMARTEY Daniel,Daniel,AMARTEY,AMARTEY,12/21/1994 0:00,Leicester City FC (ENG),186,"Accra, Ghana",5.6037168,-0.1869644
148,87,87,Ghana,GH,Ghana,GH,23.01366355,358,Ghana,20,Midfielder,KUDUS Mohammed,Kudus,MOHAMMED,KUDUS,8/2/2000 0:00,AFC Ajax (NED),175,"Accra, Ghana",5.6037168,-0.1869644
149,87,87,Ghana,GH,Ghana,GH,23.01366355,359,Ghana,21,Midfielder,ABDUL SAMED Salis,Salis,ABDUL SAMED,SALIS,3/26/2000 0:00,RC Lens (FRA),179,"Accra, Ghana",5.6037168,-0.1869644
150,41,41,Cameroon,CM,Cameroon,CM,41.96059557,105,Cameroon,1,Goalkeeper,NGAPANDOUETNBU Simon,Simon Brady,NGAPANDOUETNBU,NGAPANDOUETNBU,4/12/2003 0:00,Olympique Marseille (FRA),186,"Foumban, Cameroon",5.7204203,10.901604
151,87,87,Ghana,GH,Ghana,GH,23.01366355,353,Ghana,15,Defender,AIDOO Joseph,Joseph,AIDOO,AIDOO,9/29/1995 0:00,RC Celta Vigo (ESP),184,"Tema, Ghana",5.7348119,0.0302354
152,57,57,Côte d'Ivoire,CI,Côte d'Ivoire,CI,31.57675156,299,France,13,Defender,FOFANA Youssouf,Youssouf,FOFANA,FOFANA,1/10/1999 0:00,AS Monaco (FRA),178,"Divo, Ivory Coast",5.8415399,-5.3625516
153,87,87,Ghana,GH,Ghana,GH,23.01366355,343,Ghana,5,Midfielder,PARTEY Thomas,Thomas Teye,PARTEY,PARTEY,6/13/1993 0:00,Arsenal FC (ENG),185,"Krobo Odumase, Ghana",5.9568227,0.0513246
154,41,41,Cameroon,CM,Cameroon,CM,41.96059557,123,Cameroon,19,Defender,FAI Collins,Ngoran Suiru,FAI COLLINS,FAI,8/13/1992 0:00,Al Tai FC (KSA),165,"Bamenda, Cameroon",5.9630513,10.1591213
155,87,87,Ghana,GH,Ghana,GH,23.01366355,342,Ghana,4,Defender,SALISU Mohammed,Mohammed Salisu,ABDUL KARIM,SALISU,4/19/1999 0:00,Southampton FC (ENG),191,"Kumasi, Ghana",6.6666004,-1.6162709
156,87,87,Ghana,GH,Ghana,GH,23.01366355,351,Ghana,13,Midfielder,AFRIYIE Daniel,Daniel,AFRIYIE BERNIEH,BERNIEH,6/26/2001 0:00,Hearts Of Oak SC (GHA),170,"Kumasi, Ghana",6.6666004,-1.6162709
157,87,87,Ghana,GH,Ghana,GH,23.01366355,364,Ghana,26,Defender,ALIDU Seidu,Seidu,ALIDU,SEIDU,6/4/2000 0:00,Clermont Foot (FRA),173,"Kumasi, Ghana",6.6666004,-1.6162709
158,87,87,Ghana,GH,Ghana,GH,23.01366355,580,Qatar,9,Forward,MOHAMMED MUNTARI,Mohammed,MUNTARI,MUNTARI,12/20/1993 0:00,Al Duhail SC (QAT),192,"Kumasi, Ghana",6.6666004,-1.6162709
159,41,41,Cameroon,CM,Cameroon,CM,41.96059557,127,Cameroon,23,Goalkeeper,ONANA Andre,Andre,ONANA ONANA,ONANA,4/2/1996 0:00,FC Internazionale (ITA),190,"Nkol Ngok, Cameroon",7.369722,12.354722
160,87,87,Ghana,GH,Ghana,GH,23.01366355,360,Ghana,22,Midfielder,SULEMANA Kamaldeen,Kamaldeen,SULEMANA,SULEMANA,2/15/2002 0:00,Stade Rennais FC (FRA),174,"Techiman, Ghana",7.5908801,-1.9343555
161,41,41,Cameroon,CM,Cameroon,CM,41.96059557,130,Cameroon,26,Midfielder,MAROU Souaibou,Souaibou,MAROU,SOUAIBOU,12/3/2000 0:00,Coton Sport FC (CMR),180,"Garoua, Cameroon",9.3226016,13.393389
162,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,157,Costa Rica,1,Goalkeeper,NAVAS Keylor,Keilor Antonio,NAVAS GAMBOA,K. NAVAS,12/15/1986 0:00,Paris Saint-Germain FC (FRA),185,"Pérez Zeledón, Costa Rica",9.35473,-83.634843
163,87,87,Ghana,GH,Ghana,GH,23.01366355,339,Ghana,1,Goalkeeper,ZIGI Lawrence Ati,Lawrence Ati,ZIGI,ZIGI,11/29/1996 0:00,FC St. Gallen (SUI),188,"Tamale, Ghana",9.4034226,-0.842416
164,87,87,Ghana,GH,Ghana,GH,23.01366355,345,Ghana,7,Midfielder,ISSAHAKU Fatawu,Abdul Fatawu,ISSAHAKU,FATAWU,3/8/2004 0:00,Sporting CP (POR),177,"Tamale, Ghana",9.4034226,-0.842416
165,87,87,Ghana,GH,Ghana,GH,23.01366355,355,Ghana,17,Defender,BABA Abdul Rahman,Abdul Rahman,BABA,BABA,7/2/1994 0:00,Reading FC (ENG),180,"Tamale, Ghana",9.4034226,-0.842416
166,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,158,Costa Rica,2,Midfielder,CHACON Daniel,Daniel Alonso,CHACÓN SALAS,D. CHACÓN,4/11/2001 0:00,Colorado Rapids (USA),183,"Turrialba, Costa Rica",9.9067054,-83.6800512
167,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,161,Costa Rica,5,Midfielder,BORGES Celso,Celso,BORGES MORA,C. BORGES,5/27/1988 0:00,LD Alajuelense (CRC),182,"San José, Costa Rica",9.9280694,-84.0907246
168,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,164,Costa Rica,8,Defender,OVIEDO Bryan,Bryan Josué,OVIEDO JIMÉNEZ,B. OVIEDO,2/18/1990 0:00,Real Salt Lake (USA),172,"San José, Costa Rica",9.9280694,-84.0907246
169,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,166,Costa Rica,10,Midfielder,RUIZ Bryan,Bryan Jafet,RUIZ GONZÁLEZ,BRYAN,8/18/1985 0:00,LD Alajuelense (CRC),187,"San José, Costa Rica",9.9280694,-84.0907246
170,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,168,Costa Rica,12,Forward,CAMPBELL Joel,Joel Nathaniel,CAMPBELL SAMUELS,J. CAMPBELL,6/26/1992 0:00,Club León (MEX),178,"San José, Costa Rica",9.9280694,-84.0907246
171,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,171,Costa Rica,15,Defender,CALVO Francisco,Francisco Javier,CALVO QUESADA,F. CALVO,7/8/1992 0:00,Konyaspor (TUR),180,"San José, Costa Rica",9.9280694,-84.0907246
172,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,175,Costa Rica,19,Defender,WASTON Kendall,Kendall Jamaal,WASTON MANLEY,K. WASTON,1/1/1988 0:00,Deportivo Saprissa (CRC),196,"San José, Costa Rica",9.9280694,-84.0907246
173,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,182,Costa Rica,26,Midfielder,ZAMORA Alvaro,Alvaro José,ZAMORA MATA,A. ZAMORA,3/9/2002 0:00,Deportivo Saprissa (CRC),180,"San José, Costa Rica",9.9280694,-84.0907246
174,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,172,Costa Rica,16,Defender,MARTINEZ Carlos,Carlos Manuel,MARTÍNEZ CASTRO,C. MARTINEZ,3/30/1999 0:00,AD San Carlos (CRC),176,"Santa Ana, Costa Rica",9.9312697,-84.1820735
175,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,163,Costa Rica,7,Forward,CONTRERAS Anthony,Anthony Daniel,CONTRERAS ENRÍQUEZ,A. CONTRERAS,1/29/2000 0:00,CS Herediano (CRC),180,"Lomas de Pavas, San José,Costa Rica",9.959153,-84.1636773
176,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,181,Costa Rica,25,Midfielder,HERNANDEZ Anthony,Anthony William,HERNÁNDEZ GONZÁLEZ,A. HERNANDEZ,10/11/2001 0:00,Puntarenas FC (CRC),179,"Puntarenas, Costa Rica",9.9778439,-84.8294211
177,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,160,Costa Rica,4,Defender,FULLER Keysher,Keysher,FULLER SPENCE,K. FULLER,7/12/1994 0:00,CS Herediano (CRC),183,"Limón, Costa Rica",9.9913106,-83.0415078
178,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,167,Costa Rica,11,Forward,VENEGAS Johan,Johan Alberto,VENEGAS ULLOA,JOHAN,11/27/1988 0:00,LD Alajuelense (CRC),183,"Limón, Costa Rica",9.9913106,-83.0415078
179,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,173,Costa Rica,17,Midfielder,TEJEDA Yeltsin,Yeltsin Ignacio,TEJEDA VALVERDE,Y. TEJEDA,3/17/1992 0:00,CS Herediano (CRC),179,"Limón, Costa Rica",9.9913106,-83.0415078
180,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,179,Costa Rica,23,Goalkeeper,SEQUEIRA Patrick,Patrick Gilmar,SEQUEIRA MEJIAS,P. SEQUEIRA,3/1/1999 0:00,CD Lugo (ESP),190,"Limón, Costa Rica",9.9913106,-83.0415078
181,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,180,Costa Rica,24,Midfielder,WILSON Roan,Roan Roberto,WILSON GORDON,R. WILSON,5/1/2002 0:00,AD Municipal Grecia (CRC),184,"Limón, Costa Rica",9.9913106,-83.0415078
182,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,165,Costa Rica,9,Midfielder,BENNETTE Jewison,Jewison Francisco,BENNETTE VILLEGAS,J. BENNETTE,6/15/2004 0:00,Sunderland AFC (ENG),173,"Heredia, Costa Rica",9.9981413,-84.1197643
183,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,169,Costa Rica,13,Midfielder,TORRES Gerson,Gerson,TORRES BARRANTES,G. TORRES,8/28/1997 0:00,CS Herediano (CRC),176,"Heredia, Costa Rica",9.9981413,-84.1197643
184,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,177,Costa Rica,21,Midfielder,LOPEZ Douglas,Douglas Andrey,LÓPEZ ARAYA,D. LÓPEZ,9/21/1998 0:00,CS Herediano (CRC),180,"Alajuela, Costa Rica",10.0159394,-84.2141701
185,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,178,Costa Rica,22,Defender,MATARRITA Ronald,Ronald Alberto,MATARRITA ULATE,R. MATARRITA,7/9/1994 0:00,FC Cincinnatti (USA),175,"Alajuela, Costa Rica",10.0159394,-84.2141701
186,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,159,Costa Rica,3,Defender,VARGAS Juan Pablo,Juan Pablo,VARGAS CAMPOS,J. VARGAS,6/6/1995 0:00,Millonarios FC (COL),192,"Sarch�, Costa Rica",10.0898383,-84.3476321
187,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,176,Costa Rica,20,Midfielder,AGUILERA Brandon,Brandon,AGUILERA ZAMORA,B. AGUILERA,6/28/2003 0:00,AD Guanacasteca (CRC),179,"Naranjo, Costa Rica",10.0974116,-84.3831166
188,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,174,Costa Rica,18,Goalkeeper,ALVARADO Esteban,Esteban,ALVARADO BROWN,E. ALVARADO,4/28/1989 0:00,CS Herediano (CRC),193,"Siquirres, Costa Rica",10.0981388,-83.5096859
189,56,56,Costa Rica,CR,Costa Rica,CR,14.7173255,170,Costa Rica,14,Midfielder,SALAS Youstin,Youstin Deln,SALAS GOMEZ,Y. SALAS,6/17/1996 0:00,Deportivo Saprissa (CRC),173,"Cariari, Costa Rica",10.488088,-83.6135572
190,51,51,Colombia,CO,Colombia,CO,70.68753225,788,USA,9,Forward,FERREIRA Jesus,Jesus David,FERREIRA CASTRO,FERREIRA,12/24/2000 0:00,FC Dallas (USA),175,"Santa Marta, Colombia",11.2403547,-74.2110227
191,98,98,Guinea-Bissau,GW,Guinea-Bissau,GW,17.26042444,558,Portugal,13,Defender,DANILO PEREIRA,Danilo Luis Hélio,PEREIRA,DANILO,9/9/1991 0:00,Paris Saint-Germain FC (FRA),188,"Bissau, Guinea-Bissau",11.803749,-15.180413
192,98,98,Guinea-Bissau,GW,Guinea-Bissau,GW,17.26042444,700,Spain,25,Forward,FATI Ansu,Anssumane,FATI VIEIRA,ANSU FATI,10/31/2002 0:00,FC Barcelona (ESP),178,"Bissau, Guinea-Bissau",11.803749,-15.180413
193,160,160,Nicaragua,NI,Nicaragua,NI,18.03067444,162,Costa Rica,6,Defender,DUARTE Oscar,Oscar Esau,DUARTE GAITAN,O. DUARTE,6/3/1989 0:00,Al Wehda FC (KSA),186,"Catarina, Nicaragua",11.9104731,-86.0758979
194,200,200,Senegal,SN,Senegal,SN,31.01094678,649,Senegal,26,Goalkeeper,GOMIS Alfred,Amigo Alfred Junior,GOMIS,GOMIS,9/5/1993 0:00,Stade Rennais FC (FRA),196,"Ziguinchor, Senegal",12.5641479,-16.2639825
195,200,200,Senegal,SN,Senegal,SN,31.01094678,633,Senegal,10,Forward,MANE Sadio,Sadio,MANÉ,MANÉ,4/10/1992 0:00,FC Bayern München (GER),175,"Bambali, Sédhiou, Senegal",12.6052118,-15.6573821
196,200,200,Senegal,SN,Senegal,SN,31.01094678,640,Senegal,17,Midfielder,SARR Pape Matar,Pape Matar,SARR,PAPE SARR,9/14/2002 0:00,Tottenham Hotspur FC (ENG),185,"Thiaroye, Senegal",14.497401,-14.452362
197,200,200,Senegal,SN,Senegal,SN,31.01094678,628,Senegal,5,Midfielder,GUEYE Idrissa Gana,Idrissa Gana,GUEYE,GANA,9/26/1989 0:00,Everton FC (ENG),174,"Dakar, Senegal",14.716677,-17.4676861
198,200,200,Senegal,SN,Senegal,SN,31.01094678,631,Senegal,8,Defender,KOUYATE Cheikhou,Cheikhou,KOUYATE,KOUYATE,12/21/1989 0:00,Nottingham Forest FC (ENG),189,"Dakar, Senegal",14.716677,-17.4676861
199,200,200,Senegal,SN,Senegal,SN,31.01094678,634,Senegal,11,Defender,MENDY Formose,Formose,MENDY,FORMOSE,1/2/2001 0:00,Amiens SC (FRA),191,"Dakar, Senegal",14.716677,-17.4676861
200,200,200,Senegal,SN,Senegal,SN,31.01094678,637,Senegal,14,Defender,NAME Moustapha,Moustapha,NAME,NAME,5/5/1995 0:00,Pafos FC (CYP),183,"Dakar, Senegal",14.716677,-17.4676861
201,200,200,Senegal,SN,Senegal,SN,31.01094678,638,Senegal,15,Midfielder,DIATTA Krepin,Krépin,DIATTA,K DIATTA,2/25/1999 0:00,AS Monaco (FRA),173,"Dakar, Senegal",14.716677,-17.4676861
