OID_,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng
61,26,Argentina,26,Defender,Molina Nahuel,Nahuel,MOLINA LUCERO,MOLINA,4/6/1998 0:00,CA Atlético Madrid (ESP),178,"Embalse, Argentina",-32.204975,-64.4008877,10,10,Argentina,AR,Argentina,AR,138.7513483
62,21,Argentina,21,Forward,Dybala Paulo,Paulo Exequiel,DYBALA,DYBALA,11/15/1993 0:00,AS Roma (ITA),177,"Laguna Larga, Córdoba, Argentina",-31.7768475,-63.7998764,10,10,Argentina,AR,Argentina,AR,138.7513483
63,9,Argentina,9,Forward,Alvarez Julian,Julian,ALVAREZ,J. ALVAREZ,1/31/2000 0:00,Manchester City FC (ENG),170,"Calchín, Córdoba, Argentina",-31.6682192,-63.199948,10,10,Argentina,AR,Argentina,AR,138.7513483
64,13,Argentina,13,Defender,Romero Cristian,Cristian Gabriel,ROMERO,ROMERO,4/27/1998 0:00,Tottenham Hotspur FC (ENG),185,"Córdoba, Argentina",-31.4200833,-64.1887761,10,10,Argentina,AR,Argentina,AR,138.7513483
73,16,Argentina,16,Forward,Correa Joaquin,Carlos Joaquin,CORREA,J. CORREA,8/13/1994 0:00,FC Internazionale (ITA),188,"Juan Bautista Alberdi, Argentina",-27.5860327,-65.6240762,10,10,Argentina,AR,Argentina,AR,138.7513483
74,14,Argentina,14,Midfielder,Palacios Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,10/5/1998 0:00,Bayer 04 Leverkusen (GER),177,"Famaillá, Tucumán, Argentina",-27.0560551,-65.4021683,10,10,Argentina,AR,Argentina,AR,138.7513483
75,18,Argentina,18,Midfielder,Rodriguez Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,4/12/1994 0:00,Real Betis (ESP),186,"Sáenz Peña, Argentina",-26.8004428,-60.4312354,10,10,Argentina,AR,Argentina,AR,138.7513483
1,29,Australia,3,Defender,Atkinson Nathaniel,Nathaniel Caleb,ATKINSON,ATKINSON,6/13/1999 0:00,Heart Of Midlothian FC (SCO),181,"Launceston, Tasmania, Australia",-41.439068,147.1357671,13,13,Australia,AU,Australia,AU,252.1652377
6,36,Australia,10,Midfielder,Hrustic Ajdin,Ajdin,HRUSTIC,HRUSTIC,7/5/1996 0:00,Hellas Verona FC (ITA),180,"Dandenong, Victoria, Australia",-37.9847811,145.2139907,13,13,Australia,AU,Australia,AU,252.1652377
7,33,Australia,7,Forward,Leckie Mathew,Mathew Allan,LECKIE,LECKIE,2/4/1991 0:00,Melbourne City FC (AUS),181,"Melbourne, Victoria, Australia",-37.8136276,144.9630576,13,13,Australia,AU,Australia,AU,252.1652377
8,34,Australia,8,Defender,Wright Bailey,Bailey Colin,WRIGHT,WRIGHT,7/28/1992 0:00,Sunderland AFC (ENG),184,"Melbourne, Victoria, Australia",-37.8136276,144.9630576,13,13,Australia,AU,Australia,AU,252.1652377
9,42,Australia,16,Defender,Behich Aziz,Aziz,BEHICH,BEHICH,12/16/1990 0:00,Dundee United FC (SCO),170,"Melbourne, Victoria, Australia",-37.8136276,144.9630576,13,13,Australia,AU,Australia,AU,252.1652377
10,48,Australia,22,Midfielder,Irvine Jackson,Jackson Alexander,IRVINE,IRVINE,3/7/1993 0:00,FC St. Pauli (GER),189,"Melbourne, Australia",-37.8136276,144.9630576,13,13,Australia,AU,Australia,AU,252.1652377
11,35,Australia,9,Forward,Maclaren Jamie,Jamie,MACLAREN,MACLAREN,7/29/1993 0:00,Melbourne City FC (AUS),179,"Sunbury, Victoria, Australia",-37.5787769,144.7116286,13,13,Australia,AU,Australia,AU,252.1652377
13,49,Australia,23,Forward,Goodwin Craig,Craig Alexander,GOODWIN,GOODWIN,12/16/1991 0:00,Adelaide United FC (AUS),183,"Adelaide, Australia",-34.9284989,138.6007456,13,13,Australia,AU,Australia,AU,252.1652377
32,30,Australia,4,Defender,Rowles Kye,Kye Francis,ROWLES,ROWLES,6/24/1998 0:00,Heart Of Midlothian FC (SCO),185,"Kiama, New South Wales, Australia",-34.669198,150.8528343,13,13,Australia,AU,Australia,AU,252.1652377
37,40,Australia,14,Midfielder,Mcgree Riley,Riley Patrick,MCGREE,MCGREE,11/2/1998 0:00,Middlesbrough FC (ENG),178,"Gawler, Australia",-34.5972074,138.7490985,13,13,Australia,AU,Australia,AU,252.1652377
41,50,Australia,24,Defender,King Joel,Joel Bruce,KING,KING,10/30/2000 0:00,Odense BK (DEN),179,"Figtree, New South Wales, Australia",-34.4357271,150.8612708,13,13,Australia,AU,Australia,AU,252.1652377
45,41,Australia,15,Forward,Duke Mitchell,Mitchell Thomas,DUKE,DUKE,1/18/1991 0:00,Fagiano Okayama (JPN),182,"Liverpool, New South Wales, Australia",-33.9285567,150.9179595,13,13,Australia,AU,Australia,AU,252.1652377
47,39,Australia,13,Midfielder,Mooy Aaron,Aaron Frank,MOOY,MOOY,9/15/1990 0:00,Celtic FC (SCO),174,"Sydney, New South Wales, Australia",-33.8688197,151.2092955,13,13,Australia,AU,Australia,AU,252.1652377
48,43,Australia,17,Midfielder,Devlin Cameron,Cameron Peter,DEVLIN,DEVLIN,6/7/1998 0:00,Heart Of Midlothian FC (SCO),171,"Sydney, Australia",-33.8688197,151.2092955,13,13,Australia,AU,Australia,AU,252.1652377
49,44,Australia,18,Goalkeeper,Vukovic Danny,Daniel,VUKOVIC,VUKOVIC,3/27/1985 0:00,Central Coast Mariners FC (AUS),187,"Sydney, New South Wales, Australia",-33.8688197,151.2092955,13,13,Australia,AU,Australia,AU,252.1652377
50,27,Australia,1,Goalkeeper,Ryan Mathew,Mathew David,RYAN,RYAN,4/8/1992 0:00,FC København (DEN),184,"Plumpton, New South Wales, Australia",-33.7514593,150.8412545,13,13,Australia,AU,Australia,AU,252.1652377
51,38,Australia,12,Goalkeeper,Redmayne Andrew,Andrew James,REDMAYNE,REDMAYNE,1/13/1989 0:00,Sydney FC (AUS),194,"Gosford, Australia",-33.426667,151.341667,13,13,Australia,AU,Australia,AU,252.1652377
595,190,Croatia,8,Midfielder,Kovacic Mateo,Mateo,KOVAČIĆ,KOVAČIĆ,5/6/1994 0:00,Chelsea FC (ENG),177,"Linz, Austria",48.30694,14.28583,14,14,Austria,AT,Austria,AT,22.0679371
596,207,Croatia,25,Midfielder,Sucic Luka,Luka,SUČIĆ,SUČIĆ,9/8/2002 0:00,FC Red Bull Salzburg (AUT),185,"Linz, Austria",48.30694,14.28583,14,14,Austria,AT,Austria,AT,22.0679371
280,579,Qatar,8,Midfielder,Ali Asad,Ali Asadalla Q B,THAIMN,ALI,1/19/1993 0:00,Al Sadd SC (QAT),174,"Manama, Bahrain",26.2235305,50.5875935,18,18,Bahrain,BH,Bahrain,BH,1.653725953
640,73,Belgium,21,Midfielder,Castagne Timothy,Timothy,CASTAGNE,CASTAGNE,12/5/1995 0:00,Leicester City FC (ENG),185,"Arlon, Belgium",49.6855173,5.8104435,22,22,Belgium,BE,Belgium,BE,11.99900272
645,67,Belgium,15,Midfielder,Meunier Thomas,Thomas Andre A.,MEUNIER,MEUNIER,9/12/1991 0:00,Borussia Dortmund (GER),190,"Sainte-Ode, Belgium",50.036996,5.5485704,22,22,Belgium,BE,Belgium,BE,11.99900272
656,62,Belgium,10,Forward,Hazard Eden,Eden Michael W.,HAZARD,E. HAZARD,1/7/1991 0:00,Real Madrid CF (ESP),173,"La Louvière, Belgium",50.4766336,4.1814641,22,22,Belgium,BE,Belgium,BE,11.99900272
657,68,Belgium,16,Midfielder,Hazard Thorgan,Thorgan Ganael F.,HAZARD,T. HAZARD,3/29/1993 0:00,Borussia Dortmund (GER),174,"La Louvière, Belgium",50.4766336,4.1814641,22,22,Belgium,BE,Belgium,BE,11.99900272
658,482,Morocco,15,Midfielder,Amallah Selim,Selim,AMALLAH,AMALLAH,11/15/1996 0:00,Standard Liège (BEL),186,"Hautrage, Belgium",50.4792056,3.7659709,22,22,Belgium,BE,Belgium,BE,11.99900272
662,55,Belgium,3,Defender,Theate Arthur,Arthur Nicolas R.,THEATE,THEATE,5/25/2000 0:00,Stade Rennais FC (FRA),185,"Liège, Belgium",50.6329586,5.5697498,22,22,Belgium,BE,Belgium,BE,11.99900272
663,58,Belgium,6,Midfielder,Witsel Axel,Axel Laurent A.,WITSEL,WITSEL,1/12/1989 0:00,CA Atlético Madrid (ESP),186,"Liège, Belgium",50.6329586,5.5697498,22,22,Belgium,BE,Belgium,BE,11.99900272
664,76,Belgium,24,Forward,Openda Lois,Ikoma-Loïs,OPENDA,OPENDA,2/16/2000 0:00,RC Lens (FRA),175,"Liège, Belgium",50.6329586,5.5697498,22,22,Belgium,BE,Belgium,BE,11.99900272
668,78,Belgium,26,Defender,Debast Zeno,Zeno Koen,DEBAST,DEBAST,10/24/2003 0:00,RSC Anderlecht (BEL),189,"Halle, Belgium",50.7381601,4.2337053,22,22,Belgium,BE,Belgium,BE,11.99900272
670,60,Belgium,8,Midfielder,Tielemans Youri,Youri Marion A.,TIELEMANS,TIELEMANS,5/7/1997 0:00,Leicester City FC (ENG),176,"Sint-Pieters-Leeuw, Belgium",50.780993,4.245613,22,22,Belgium,BE,Belgium,BE,11.99900272
672,64,Belgium,12,Goalkeeper,Mignolet Simon,Simon Luc M.,MIGNOLET,MIGNOLET,3/6/1988 0:00,Club Brugge (BEL),193,"Sint-Truiden, Belgium",50.818835,5.1819977,22,22,Belgium,BE,Belgium,BE,11.99900272
673,70,Belgium,18,Midfielder,Onana Amadou,Amadou Ba Z.,MVOM ONANA,ONANA,8/16/2001 0:00,Everton FC (ENG),192,"City of Brussels, Belgium",50.8476424,4.3571696,22,22,Belgium,BE,Belgium,BE,11.99900272
674,75,Belgium,23,Forward,Batshuayi Michy,Michy,BATSHUAYI-ATUNGA,BATSHUAYI,10/2/1993 0:00,Fenerbahce SK (TUR),185,"Brussels, Belgium",50.8476424,4.3571696,22,22,Belgium,BE,Belgium,BE,11.99900272
675,66,Belgium,14,Forward,Mertens Dries,Dries,MERTENS,MERTENS,5/6/1987 0:00,Galatasaray SK (TUR),169,"Leuven, Belgium",50.8822871,4.7137645,22,22,Belgium,BE,Belgium,BE,11.99900272
676,341,Ghana,3,Defender,Odoi Denis,Denis Frimpong,ODOI,ODOI,5/27/1988 0:00,Club Brugge (BEL),178,"Leuven, Belgium",50.8822871,4.7137645,22,22,Belgium,BE,Belgium,BE,11.99900272
677,71,Belgium,19,Defender,Dendoncker Leander,Leander,DENDONCKER,DENDONCKER,4/15/1995 0:00,Aston Villa FC (ENG),188,"Passendale, Belgium",50.9002575,3.0207328,22,22,Belgium,BE,Belgium,BE,11.99900272
678,490,Morocco,23,Midfielder,El Khannouss Bilal,Bilal,EL KHANNOUSS,EL KHANNOUSS,5/10/2004 0:00,KRC Genk (BEL),180,"Strombeek-Bever, Belgium",50.9103739,4.35564,22,22,Belgium,BE,Belgium,BE,11.99900272
680,63,Belgium,11,Forward,Carrasco Yannick,Yannick,FERREIRA CARRASCO,CARRASCO,9/4/1993 0:00,CA Atlético Madrid (ESP),180,"Vilvoorde, Belgium",50.926454,4.4258375,22,22,Belgium,BE,Belgium,BE,11.99900272
682,69,Belgium,17,Forward,Trossard Leandro,Leandro,TROSSARD,TROSSARD,12/4/1994 0:00,Brighton & Hove Albion FC (ENG),172,"Maasmechelen, Belgium",50.9797203,5.701778,22,22,Belgium,BE,Belgium,BE,11.99900272
683,65,Belgium,13,Goalkeeper,Casteels Koen,Koen,CASTEELS,CASTEELS,6/25/1992 0:00,VfL Wolfsburg (GER),197,"Bonheiden, Belgium",51.0222566,4.5481496,22,22,Belgium,BE,Belgium,BE,11.99900272
684,59,Belgium,7,Midfielder,De Bruyne Kevin,Kevin,DE BRUYNE,DE BRUYNE,6/28/1991 0:00,Manchester City FC (ENG),181,"Drongen, Belgium",51.05048,3.6633,22,22,Belgium,BE,Belgium,BE,11.99900272
685,53,Belgium,1,Goalkeeper,Courtois Thibaut,Thibaut Nicolas M.,COURTOIS,COURTOIS,5/11/1992 0:00,Real Madrid CF (ESP),199,"Bree, Belgium",51.1399244,5.5965788,22,22,Belgium,BE,Belgium,BE,11.99900272
687,57,Belgium,5,Defender,Vertonghen Jan,Jan Bert L.,VERTONGHEN,VERTONGHEN,4/24/1987 0:00,RSC Anderlecht (BEL),189,"Sint-Niklaas, Belgium",51.1653295,4.1386501,22,22,Belgium,BE,Belgium,BE,11.99900272
688,56,Belgium,4,Defender,Faes Wout,Wout Felix L.,FAES,FAES,4/3/1998 0:00,Leicester City FC (ENG),187,"Mol, Belgium",51.1872257,5.1154096,22,22,Belgium,BE,Belgium,BE,11.99900272
690,74,Belgium,22,Forward,De Ketelaere Charles,Charles Marc S.,DE KETELAERE,DE KETELAERE,3/10/2001 0:00,AC Milan (ITA),192,"Bruges, Belgium",51.2091807,3.2247552,22,22,Belgium,BE,Belgium,BE,11.99900272
691,54,Belgium,2,Defender,Alderweireld Toby,Tobias Albertine M.,ALDERWEIRELD,ALDERWEIRELD,3/2/1989 0:00,Royal Antwerp FC (BEL),186,"Antwerp, Belgium",51.2213404,4.4051485,22,22,Belgium,BE,Belgium,BE,11.99900272
692,61,Belgium,9,Forward,Lukaku Romelu,Romelu,LUKAKU BOLINGOLI,R. LUKAKU,5/13/1993 0:00,FC Internazionale (ITA),190,"Antwerp, Belgium",51.2213404,4.4051485,22,22,Belgium,BE,Belgium,BE,11.99900272
693,77,Belgium,25,Forward,Doku Jeremy,Jeremy Baffour,DOKU,DOKU,5/27/2002 0:00,Stade Rennais FC (FRA),173,"Antwerp, Belgium",51.2213404,4.4051485,22,22,Belgium,BE,Belgium,BE,11.99900272
694,480,Morocco,13,Midfielder,Chair Ilias,Ilias,CHAIR,CHAIR,10/30/1997 0:00,Queens Park Rangers FC (ENG),164,"Antwerp, Belgium",51.2213404,4.4051485,22,22,Belgium,BE,Belgium,BE,11.99900272
695,72,Belgium,20,Midfielder,Vanaken Hans,Hans,VANAKEN,VANAKEN,8/24/1992 0:00,Club Brugge (BEL),195,"Pelt, Belgium",51.2284366,5.4342638,22,22,Belgium,BE,Belgium,BE,11.99900272
466,198,Croatia,16,Forward,Petkovic Bruno,Bruno,PETKOVIĆ,PETKOVIĆ,9/16/1994 0:00,GNK Dinamo Zagreb (CRO),193,"Metković, Croatia",43.0532801,17.6493431,29,29,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,BA,13.0905842
469,206,Croatia,24,Defender,Sutalo Josip,Josip,ŠUTALO,ŠUTALO,2/28/2000 0:00,GNK Dinamo Zagreb (CRO),190,"Čapljina, Bosnia and Herzegovina",43.1118267,17.7054838,29,29,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,BA,13.0905842
516,188,Croatia,6,Defender,Lovren Dejan,Dejan,LOVREN,LOVREN,7/5/1989 0:00,FC Zenit St. Petersburg (RUS),188,"Zenica, SR Bosnia and Herzegovina, SFR Yugoslavia",44.2034392,17.9077432,29,29,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,BA,13.0905842
517,199,Croatia,17,Forward,Budimir Ante,Ante,BUDIMIR,BUDIMIR,7/22/1991 0:00,CA Osasuna (ESP),190,"Zenica, SR Bosnia and Herzegovina, SFR Yugoslavia",44.2034392,17.9077432,29,29,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,BA,13.0905842
524,664,Serbia,15,Defender,Babic Srdjan,Srđan,BABIĆ,BABIĆ,4/22/1996 0:00,UD Almería (ESP),195,"Banja Luka, Bosnia and Herzegovina",44.7721811,17.191,29,29,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,BA,13.0905842
69,89,Brazil,11,Forward,Raphinha,Raphael,DIAS BELLOLI,RAPHINHA,12/14/1996 0:00,FC Barcelona (ESP),176,"Porto Alegre, Brazil",-30.0368176,-51.2089887,32,32,Brazil,BR,Brazil,BR,248.7567149
71,79,Brazil,1,Goalkeeper,Alisson,Alisson Ramsés,BECKER,A. BECKER,10/2/1992 0:00,Liverpool FC (ENG),193,"Novo Hamburgo, Brazil",-29.6834874,-51.1337575,32,32,Brazil,BR,Brazil,BR,248.7567149
72,94,Brazil,16,Defender,Alex Telles,Alex,NICOLAO TELLES,ALEX TELLES,12/15/1992 0:00,Sevilla FC (ESP),181,"Caxias do Sul, Rio Grande do Sul, Brazil",-29.1740137,-51.1812032,32,32,Brazil,BR,Brazil,BR,248.7567149
76,82,Brazil,4,Defender,Marquinhos,Marcos,AOAS CORREA,MARQUINHOS,5/14/1994 0:00,Paris Saint-Germain FC (FRA),183,"São Paulo, Brazil",-23.5557714,-46.6395571,32,32,Brazil,BR,Brazil,BR,248.7567149
77,96,Brazil,18,Forward,Gabriel Jesus,Gabriel Fernando,DE JESUS,G. JESUS,4/3/1997 0:00,Arsenal FC (ENG),175,"São Paulo, Brazil",-23.5557714,-46.6395571,32,32,Brazil,BR,Brazil,BR,248.7567149
78,88,Brazil,10,Forward,Neymar,Neymar,DA SILVA SANTOS JUNIOR,NEYMAR JR,2/5/1992 0:00,Paris Saint-Germain FC (FRA),175,"Mogi das Cruzes, Brazil",-23.5393849,-46.216729,32,32,Brazil,BR,Brazil,BR,248.7567149
79,97,Brazil,19,Forward,Antony,Antony Matheus,DOS SANTOS,ANTONY,2/24/2000 0:00,Manchester United FC (ENG),172,"Osasco, Brazil",-23.533385,-46.7914568,32,32,Brazil,BR,Brazil,BR,248.7567149
80,99,Brazil,21,Forward,Rodrygo,Rodrygo,SILVA DE GOES,RODRYGO,1/9/2001 0:00,Real Madrid CF (ESP),174,"Osasco, Brazil",-23.533385,-46.7914568,32,32,Brazil,BR,Brazil,BR,248.7567149
81,101,Brazil,23,Goalkeeper,Ederson,Ederson,SANTANA DE MORAES,EDERSON,8/17/1993 0:00,Manchester City FC (ENG),188,"Osasco, Brazil",-23.533385,-46.7914568,32,32,Brazil,BR,Brazil,BR,248.7567149
82,104,Brazil,26,Forward,Gabriel Martinelli,Gabriel,TEODORO MARTINELLI SILVA,MARTINELLI,6/18/2001 0:00,Arsenal FC (ENG),178,"Guarulhos, Brazil",-23.4543137,-46.5336643,32,32,Brazil,BR,Brazil,BR,248.7567149
83,100,Brazil,22,Midfielder,Everton Ribeiro,Everton Augusto,DE BARROS RIBEIRO,E. RIBEIRO,4/10/1989 0:00,CR Flamengo (BRA),174,"Arujá, São Paulo, Brazil",-23.3951365,-46.3227109,32,32,Brazil,BR,Brazil,BR,248.7567149
84,83,Brazil,5,Midfielder,Casemiro,Carlos Henrique,CASIMIRO,CASEMIRO,2/23/1992 0:00,Manchester United FC (ENG),185,"São José dos Campos, São Paulo, Brazil",-23.2198396,-45.8915658,32,32,Brazil,BR,Brazil,BR,248.7567149
85,93,Brazil,15,Midfielder,Fabinho,Fabio Henrique,TAVARES,FABINHO,10/23/1993 0:00,Liverpool FC (ENG),188,"Campinas, Brazil",-22.9050824,-47.0613327,32,32,Brazil,BR,Brazil,BR,248.7567149
86,81,Brazil,3,Defender,Thiago Silva,Thiago,EMILIANO DA SILVA,T. SILVA,9/22/1984 0:00,Chelsea FC (ENG),183,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,32,32,Brazil,BR,Brazil,BR,248.7567149
87,85,Brazil,7,Midfielder,Lucas Paqueta,Lucas,TOLENTINO COELHO DE LIMA,L. PAQUETÁ,8/27/1997 0:00,West Ham United FC (ENG),180,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,32,32,Brazil,BR,Brazil,BR,248.7567149
88,95,Brazil,17,Midfielder,Bruno Guimaraes,Bruno,GUIMARÃES RODRIGUEZ MOURA,BRUNO G.,11/16/1997 0:00,Newcastle United FC (ENG),182,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,32,32,Brazil,BR,Brazil,BR,248.7567149
89,103,Brazil,25,Forward,Pedro,Pedro Guilherme,ABREU DOS SANTOS,PEDRO,6/20/1997 0:00,CR Flamengo (BRA),185,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,32,32,Brazil,BR,Brazil,BR,248.7567149
90,568,Portugal,23,Midfielder,Matheus Nunes,Matheus Luís,NUNES,MATHEUS N.,8/27/1998 0:00,Wolverhampton Wanderers FC (ENG),181,"Rio de Janeiro, Brazil ",-22.9068467,-43.1728965,32,32,Brazil,BR,Brazil,BR,248.7567149
91,98,Brazil,20,Forward,Vinicius Junior,Vinicius José,PAIXÃO DE OLIVEIRA JÚNIOR,VINI JR,7/12/2000 0:00,Real Madrid CF (ESP),176,"São Gonçalo, Brazil",-22.8233781,-43.0462495,32,32,Brazil,BR,Brazil,BR,248.7567149
92,80,Brazil,2,Defender,Danilo,Danilo Luiz,DA SILVA,DANILO,7/15/1991 0:00,Juventus FC (ITA),184,"Bicas, Brazil",-21.7171992,-43.062821,32,32,Brazil,BR,Brazil,BR,248.7567149
