National Team,Number,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),Birth,birth_lat,birth_long
Australia,1,Goalkeeper,RYAN Mathew,Mathew David,RYAN,RYAN,8/4/1992,FC København (DEN),184,"Plumpton, New South Wales, Australia",-33.7514593,150.8412545
Australia,2,Defender,DEGENEK Milos,Milos,DEGENEK,DEGENEK,28/04/1994,Columbus Crew SC (USA),187,"Knin, Croatia",44.0407757,16.1964988
Australia,3,Defender,ATKINSON Nathaniel,Nathaniel Caleb,ATKINSON,ATKINSON,13/06/1999,Heart Of Midlothian FC (SCO),181,"Launceston, Tasmania, Australia",-41.439068,147.1357671
Australia,4,Defender,ROWLES Kye,Kye Francis,ROWLES,ROWLES,24/06/1998,Heart Of Midlothian FC (SCO),185,"Kiama, New South Wales, Australia",-34.669198,150.8528343
Australia,5,Defender,KARACIC Fran,Fran,KARACIC,KARACIC,12/5/1996,Brescia Calcio (ITA),181,"Zagreb, Croatia",45.8150108,15.981919
Australia,6,Forward,BOYLE Martin,Martin Callie,BOYLE,BOYLE,25/04/1993,Hibernian FC (SCO),172,"Aberdeen, Scotland",57.1498891,-2.0937528
Australia,7,Forward,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,4/2/1991,Melbourne City FC (AUS),181,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
Australia,8,Defender,WRIGHT Bailey,Bailey Colin,WRIGHT,WRIGHT,28/07/1992,Sunderland AFC (ENG),184,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
Australia,9,Forward,MacLAREN Jamie,Jamie,MACLAREN,MACLAREN,29/07/1993,Melbourne City FC (AUS),179,"Sunbury, Victoria, Australia",-37.5787769,144.7116286
Australia,10,Midfielder,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,5/7/1996,Hellas Verona FC (ITA),180,"Dandenong, Victoria, Australia",-37.9847811,145.2139907
Australia,11,Forward,MABIL Awer,Awer Bul,MABIL,MABIL,15/09/1995,Cádiz CF (ESP),179,"Kakuma, Kenya",3.7167637,34.8568982
Australia,12,Goalkeeper,REDMAYNE Andrew,Andrew James,REDMAYNE,REDMAYNE,13/01/1989,Sydney FC (AUS),194,"Gosford, Australia",-33.426667,151.341667
Australia,13,Midfielder,MOOY Aaron,Aaron Frank,MOOY,MOOY,15/09/1990,Celtic FC (SCO),174,"Sydney, New South Wales, Australia",-33.8688197,151.2092955
Australia,14,Midfielder,McGREE Riley,Riley Patrick,MCGREE,MCGREE,2/11/1998,Middlesbrough FC (ENG),178,"Gawler, Australia",-34.59720739999999,138.7490985
Australia,15,Forward,DUKE Mitchell,Mitchell Thomas,DUKE,DUKE,18/01/1991,Fagiano Okayama (JPN),182,"Liverpool, New South Wales, Australia",-33.9285567,150.9179595
Australia,16,Defender,BEHICH Aziz,Aziz,BEHICH,BEHICH,16/12/1990,Dundee United FC (SCO),170,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
Australia,17,Midfielder,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,7/6/1998,Heart Of Midlothian FC (SCO),171,"Sydney, Australia",-33.8688197,151.2092955
Australia,18,Goalkeeper,VUKOVIC Danny,Daniel,VUKOVIC,VUKOVIC,27/03/1985,Central Coast Mariners FC (AUS),187,"Sydney, New South Wales, Australia",-33.8688197,151.2092955
Australia,19,Defender,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,22/10/1998,Stoke City FC (ENG),198,"Aberdeen, Scotland",57.1498891,-2.0937528
Australia,20,Defender,DENG Thomas,Thomas Jok,DENG,DENG,20/03/1997,Albirex Niigata (JPN),178,"Nairobi, Kenya",-1.2920659,36.8219462
Australia,21,Forward,KUOL Garang,Garang,MAWIEN KUOL,KUOL,15/09/2004,Central Coast Mariners FC (AUS),175,Egypt,26.820553,30.802498
Australia,22,Midfielder,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,7/3/1993,FC St. Pauli (GER),189,"Melbourne, Australia",-37.8136276,144.9630576
Australia,23,Forward,GOODWIN Craig,Craig Alexander,GOODWIN,GOODWIN,16/12/1991,Adelaide United FC (AUS),183,"Adelaide, Australia",-34.9284989,138.6007456
Australia,24,Defender,KING Joel,Joel Bruce,KING,KING,30/10/2000,Odense BK (DEN),179,"Figtree, New South Wales, Australia",-34.4357271,150.8612708
Australia,25,Forward,CUMMINGS Jason,Jason Steven,CUMMINGS,CUMMINGS,1/8/1995,Central Coast Mariners FC (AUS),178,"Edinburgh, Scotland",55.953252,-3.188267
Australia,26,Midfielder,BACCUS Keanu,Keanu Kole,BACCUS,BACCUS,7/6/1998,St Mirren FC (SCO),178,"Durban, South Africa",-29.85868039999999,31.0218404
Belgium,1,Goalkeeper,COURTOIS Thibaut,Thibaut Nicolas M.,COURTOIS,COURTOIS,11/5/1992,Real Madrid CF (ESP),199,"Bree, Belgium",51.13992440000001,5.5965788
Belgium,2,Defender,ALDERWEIRELD Toby,Tobias Albertine M.,ALDERWEIRELD,ALDERWEIRELD,2/3/1989,Royal Antwerp FC (BEL),186,"Antwerp, Belgium",51.2213404,4.4051485
Belgium,3,Defender,THEATE Arthur,Arthur Nicolas R.,THEATE,THEATE,25/05/2000,Stade Rennais FC (FRA),185,"Liège, Belgium",50.63295859999999,5.569749799999999
Belgium,4,Defender,FAES Wout,Wout Felix L.,FAES,FAES,3/4/1998,Leicester City FC (ENG),187,"Mol, Belgium",51.1872257,5.1154096
Belgium,5,Defender,VERTONGHEN Jan,Jan Bert L.,VERTONGHEN,VERTONGHEN,24/04/1987,RSC Anderlecht (BEL),189,"Sint-Niklaas, Belgium",51.1653295,4.1386501
Belgium,6,Midfielder,WITSEL Axel,Axel Laurent A.,WITSEL,WITSEL,12/1/1989,CA Atlético Madrid (ESP),186,"Liège, Belgium",50.63295859999999,5.569749799999999
Belgium,7,Midfielder,DE BRUYNE Kevin,Kevin,DE BRUYNE,DE BRUYNE,28/06/1991,Manchester City FC (ENG),181,"Drongen, Belgium",51.05048,3.6633
Belgium,8,Midfielder,TIELEMANS Youri,Youri Marion A.,TIELEMANS,TIELEMANS,7/5/1997,Leicester City FC (ENG),176,"Sint-Pieters-Leeuw, Belgium",50.780993,4.245613
Belgium,9,Forward,LUKAKU Romelu,Romelu,LUKAKU BOLINGOLI,R. LUKAKU,13/05/1993,FC Internazionale (ITA),190,"Antwerp, Belgium",51.2213404,4.4051485
Belgium,10,Forward,HAZARD Eden,Eden Michael W.,HAZARD,E. HAZARD,7/1/1991,Real Madrid CF (ESP),173,"La Louvière, Belgium",50.4766336,4.181464099999999
Belgium,11,Forward,CARRASCO Yannick,Yannick,FERREIRA CARRASCO,CARRASCO,4/9/1993,CA Atlético Madrid (ESP),180,"Vilvoorde, Belgium",50.926454,4.4258375
Belgium,12,Goalkeeper,MIGNOLET Simon,Simon Luc M.,MIGNOLET,MIGNOLET,6/3/1988,Club Brugge (BEL),193,"Sint-Truiden, Belgium",50.818835,5.1819977
Belgium,13,Goalkeeper,CASTEELS Koen,Koen,CASTEELS,CASTEELS,25/06/1992,VfL Wolfsburg (GER),197,"Bonheiden, Belgium",51.02225660000001,4.548149599999999
Belgium,14,Forward,MERTENS Dries,Dries,MERTENS,MERTENS,6/5/1987,Galatasaray SK (TUR),169,"Leuven, Belgium",50.8822871,4.7137645
Belgium,15,Midfielder,MEUNIER Thomas,Thomas Andre A.,MEUNIER,MEUNIER,12/9/1991,Borussia Dortmund (GER),190,"Sainte-Ode, Belgium",50.03699599999999,5.5485704
Belgium,16,Midfielder,HAZARD Thorgan,Thorgan Ganael F.,HAZARD,T. HAZARD,29/03/1993,Borussia Dortmund (GER),174,"La Louvière, Belgium",50.4766336,4.181464099999999
Belgium,17,Forward,TROSSARD Leandro,Leandro,TROSSARD,TROSSARD,4/12/1994,Brighton & Hove Albion FC (ENG),172,"Maasmechelen, Belgium",50.9797203,5.701778000000001
Belgium,18,Midfielder,ONANA Amadou,Amadou Ba Z.,MVOM ONANA,ONANA,16/08/2001,Everton FC (ENG),192,"City of Brussels, Belgium",50.8476424,4.3571696
Belgium,19,Defender,DENDONCKER Leander,Leander,DENDONCKER,DENDONCKER,15/04/1995,Aston Villa FC (ENG),188,"Passendale, Belgium",50.9002575,3.0207328
Belgium,20,Midfielder,VANAKEN Hans,Hans,VANAKEN,VANAKEN,24/08/1992,Club Brugge (BEL),195,"Pelt, Belgium",51.22843659999999,5.4342638
Belgium,21,Midfielder,CASTAGNE Timothy,Timothy,CASTAGNE,CASTAGNE,5/12/1995,Leicester City FC (ENG),185,"Arlon, Belgium",49.6855173,5.8104435
Belgium,22,Forward,DE KETELAERE Charles,Charles Marc S.,DE KETELAERE,DE KETELAERE,10/3/2001,AC Milan (ITA),192,"Bruges, Belgium",51.2091807,3.2247552
Belgium,23,Forward,BATSHUAYI Michy,Michy,BATSHUAYI-ATUNGA,BATSHUAYI,2/10/1993,Fenerbahce SK (TUR),185,"Brussels, Belgium",50.8476424,4.3571696
Belgium,24,Forward,OPENDA Lois,Ikoma-Loïs,OPENDA,OPENDA,16/02/2000,RC Lens (FRA),175,"Liège, Belgium",50.63295859999999,5.569749799999999
Belgium,25,Forward,DOKU Jeremy,Jeremy Baffour,DOKU,DOKU,27/05/2002,Stade Rennais FC (FRA),173,"Antwerp, Belgium",51.2213404,4.4051485
Belgium,26,Defender,DEBAST Zeno,Zeno Koen,DEBAST,DEBAST,24/10/2003,RSC Anderlecht (BEL),189,"Halle, Belgium",50.7381601,4.2337053
Brazil,1,Goalkeeper,ALISSON,Alisson Ramsés,BECKER,A. BECKER,2/10/1992,Liverpool FC (ENG),193,"Novo Hamburgo, Brazil",-29.6834874,-51.13375749999999
Brazil,2,Defender,DANILO,Danilo Luiz,DA SILVA,DANILO,15/07/1991,Juventus FC (ITA),184,"Bicas, Brazil",-21.7171992,-43.062821
Brazil,3,Defender,THIAGO SILVA,Thiago,EMILIANO DA SILVA,T. SILVA,22/09/1984,Chelsea FC (ENG),183,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
Brazil,4,Defender,MARQUINHOS,Marcos,AOAS CORREA,MARQUINHOS,14/05/1994,Paris Saint-Germain FC (FRA),183,"São Paulo, Brazil",-23.5557714,-46.6395571
Brazil,5,Midfielder,CASEMIRO,Carlos Henrique,CASIMIRO,CASEMIRO,23/02/1992,Manchester United FC (ENG),185,"São José dos Campos, São Paulo, Brazil",-23.2198396,-45.8915658
Brazil,6,Defender,ALEX SANDRO,Alex Sandro,LOBO SILVA,ALEX SANDRO,26/01/1991,Juventus FC (ITA),180,"Catanduva, São Paulo, Brazil",-21.1374204,-48.973923
Brazil,7,Midfielder,LUCAS PAQUETA,Lucas,TOLENTINO COELHO DE LIMA,L. PAQUETÁ,27/08/1997,West Ham United FC (ENG),180,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
Brazil,8,Midfielder,FRED,Frederico,RODRIGUES DE PAULA SANTOS,FRED,5/3/1993,Manchester United FC (ENG),169,"Belo Horizonte, Brazil",-19.919052,-43.9386685
Brazil,9,Forward,RICHARLISON,Richarlison,DE ANDRADE,RICHARLISON,10/5/1997,Tottenham Hotspur FC (ENG),184,"Nova Venécia, Espírito Santo, Brazil",-18.7084516,-40.3955098
Brazil,10,Forward,NEYMAR,Neymar,DA SILVA SANTOS JUNIOR,NEYMAR JR,5/2/1992,Paris Saint-Germain FC (FRA),175,"Mogi das Cruzes, Brazil",-23.5393849,-46.216729
Brazil,11,Forward,RAPHINHA,Raphael,DIAS BELLOLI,RAPHINHA,14/12/1996,FC Barcelona (ESP),176,"Porto Alegre, Brazil",-30.0368176,-51.2089887
Brazil,12,Goalkeeper,WEVERTON,Weverton,PEREIRA DA SILVA,WEVERTON,13/12/1987,SE Palmeiras (BRA),189,"Rio Branco, Acre, Brazil",-9.9740249,-67.8098191
Brazil,13,Defender,DANI ALVES,Daniel,ALVES DA SILVA,DANI ALVES,6/5/1983,Pumas UNAM (MEX),172,"Juazeiro, Bahia, Brazil",-9.4312697,-40.5078709
Brazil,14,Defender,EDER MILITAO,Éder Gabriel,MILITÃO,E. MILITÃO,18/01/1998,Real Madrid CF (ESP),186,"Sertãozinho, São Paulo, Brazil",-21.1323761,-47.9945265
Brazil,15,Midfielder,FABINHO,Fabio Henrique,TAVARES,FABINHO,23/10/1993,Liverpool FC (ENG),188,"Campinas, Brazil",-22.9050824,-47.0613327
Brazil,16,Defender,ALEX TELLES,Alex,NICOLAO TELLES,ALEX TELLES,15/12/1992,Sevilla FC (ESP),181,"Caxias do Sul, Rio Grande do Sul, Brazil",-29.1740137,-51.1812032
Brazil,17,Midfielder,BRUNO GUIMARAES,Bruno,GUIMARÃES RODRIGUEZ MOURA,BRUNO G.,16/11/1997,Newcastle United FC (ENG),182,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
Brazil,18,Forward,GABRIEL JESUS,Gabriel Fernando,DE JESUS,G. JESUS,3/4/1997,Arsenal FC (ENG),175,"São Paulo, Brazil",-23.5557714,-46.6395571
Brazil,19,Forward,ANTONY,Antony Matheus,DOS SANTOS,ANTONY,24/02/2000,Manchester United FC (ENG),172,"Osasco, Brazil",-23.533385,-46.7914568
Brazil,20,Forward,VINICIUS JUNIOR,Vinicius José,PAIXÃO DE OLIVEIRA JÚNIOR,VINI JR,12/7/2000,Real Madrid CF (ESP),176,"São Gonçalo, Brazil",-22.8233781,-43.0462495
Brazil,21,Forward,RODRYGO,Rodrygo,SILVA DE GOES,RODRYGO,9/1/2001,Real Madrid CF (ESP),174,"Osasco, Brazil",-23.533385,-46.7914568
Brazil,22,Midfielder,EVERTON RIBEIRO,Everton Augusto,DE BARROS RIBEIRO,E. RIBEIRO,10/4/1989,CR Flamengo (BRA),174,"Arujá, São Paulo, Brazil",-23.3951365,-46.3227109
Brazil,23,Goalkeeper,EDERSON,Ederson,SANTANA DE MORAES,EDERSON,17/08/1993,Manchester City FC (ENG),188,"Osasco, Brazil",-23.533385,-46.7914568
Brazil,24,Defender,BREMER,Gleison Bremer,SILVA NASCIMENTO,BREMER,18/03/1997,Juventus FC (ITA),188,"Itapitanga, Brazil",-14.4214383,-39.5673464
Brazil,25,Forward,PEDRO,Pedro Guilherme,ABREU DOS SANTOS,PEDRO,20/06/1997,CR Flamengo (BRA),185,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
Brazil,26,Forward,GABRIEL MARTINELLI,Gabriel,TEODORO MARTINELLI SILVA,MARTINELLI,18/06/2001,Arsenal FC (ENG),178,"Guarulhos, Brazil",-23.4543137,-46.5336643
Cameroon,1,Goalkeeper,NGAPANDOUETNBU Simon,Simon Brady,NGAPANDOUETNBU,NGAPANDOUETNBU,12/4/2003,Olympique Marseille (FRA),186,"Foumban, Cameroon",5.7204203,10.901604
Cameroon,2,Defender,NGOM MBEKELI Jerome,Jerome,NGOM MBEKELI,NGOM,30/09/1998,Colombe Sportive (CMR),174,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,3,Defender,NKOULOU Nicolas,Nicolas Julio,NKOULOU NDOUBENA,NKOULOU,27/03/1990,Aris Thessaloniki FC (GRE),185,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,4,Defender,WOOH Christopher,Christopher Maurice,WOOH,WOOH,18/09/2001,Stade Rennais FC (FRA),191,"Louvres, France",49.043002,2.506288
Cameroon,5,Midfielder,ONDOUA Gael,Gael,BELLA ONDOUA,ONDOUA,4/11/1995,Hannover 96 (GER),185,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,6,Forward,MOUMI NGAMALEU Nicolas,Nicolas Brice,MOUMI NGAMALEU,NGAMALEU,9/7/1994,FC Dynamo Moscow (RUS),181,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,7,Midfielder,NKOUDOU Georges-Kevin,Georges Kevin,NKOUDOU MBIDA,NKOUDOU,13/02/1995,Besiktas JK (TUR),172,"Versailles, France",48.801408,2.130122
Cameroon,8,Midfielder,ZAMBO ANGUISSA Andre-Frank,Andre Frank,ZAMBO ANGUISSA,ANGUISSA,16/11/1995,SSC Napoli (ITA),184,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,9,Forward,NSAME Jean-Pierre,Jean Pierre Junior,NSAME,NSAME,1/5/1993,BSC Young Boys (SUI),188,"Douala, Cameroon",4.0510564,9.7678687
Cameroon,10,Forward,ABOUBAKAR Vincent,Vincent,ABOUBAKAR,ABOUBAKAR,22/01/1992,Al Nassr FC (KSA),176,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,11,Forward,BASSOGOG Christian,Christian,MOUGANG BASSOGOG,BASSOGOG,18/10/1995,Shanghai Shenhua FC (CHN),178,"Douala, Cameroon",4.0510564,9.7678687
Cameroon,12,Forward,TOKO EKAMBI Karl,Karl Louis-Brillant,TOKO EKAMBI,TOKO-EKAMBI,14/09/1992,Olympique Lyon (FRA),183,"Paris, France",48.856614,2.3522219
Cameroon,13,Forward,CHOUPO-MOTING Eric Maxim,Eric Maxim,CHOUPO-MOTING,CHOUPO-MOTING,23/03/1989,FC Bayern München (GER),191,"Hamburg, West Germany",53.5488282,9.9871703
Cameroon,14,Midfielder,OUM GOUET Samuel,Samuel Yves,OUM GOUET,OUM,14/12/1997,KV Mechelen (BEL),185,"Ayos, Cameroon",3.9056609,12.5269347
Cameroon,15,Midfielder,KUNDE Pierre,Pierre,KUNDE MALONG,KUNDE MALONG,26/07/1995,Olympiacos Piraeus FC (GRE),180,"Limbe, Cameroon",4.022465599999999,9.1954432
Cameroon,16,Goalkeeper,EPASSY Devis,Devis Rogers,EPASSY MBOKA,EPASSY,2/2/1993,Abha Club (KSA),187,"Soisy-sous-Montmorency, France",48.988506,2.299731
Cameroon,17,Defender,MBAIZO Olivier,Olivier,MBAISSIDARA MBAIZO,MBAIZO,15/08/1997,Philadelphia Union (USA),178,"Douala, Cameroon",4.0510564,9.7678687
Cameroon,18,Midfielder,HONGLA Martin,Martin,HONGLA YMA II,HONGLA,16/03/1998,Hellas Verona FC (ITA),182,"Yaoundé, Cameroon",3.8480325,11.5020752
Cameroon,19,Defender,FAI Collins,Ngoran Suiru,FAI COLLINS,FAI,13/08/1992,Al Tai FC (KSA),165,"Bamenda, Cameroon",5.9630513,10.1591213
Cameroon,20,Forward,MBEUMO Bryan,Bryan Tetsadong Marceau,MBEUMO,MBEUMO,7/8/1999,Brentford FC (ENG),173,"Avallon, France",47.48822,3.907721999999999
Cameroon,21,Defender,CASTELLETTO Jean-Charles,Jean-Charles Victor,CASTELLETTO,CASTELLETTO,26/01/1995,FC Nantes (FRA),186,"Clamart, France",48.799815,2.257289
Cameroon,22,Midfielder,NTCHAM Olivier,Jules Olivier,NTCHAM,NTCHAM,9/2/1996,Swansea City AFC (WAL),180,"Longjumeau, France",48.6930642,2.2947615
Cameroon,23,Goalkeeper,ONANA Andre,Andre,ONANA ONANA,ONANA,2/4/1996,FC Internazionale (ITA),190,"Nkol Ngok, Cameroon",7.369721999999999,12.354722
Cameroon,24,Defender,EBOSSE Enzo,Enzo Jacques Rodolphe,EBOSSE,EBOSSE,11/3/1999,Udinese (ITA),185,"Amiens, France",49.894067,2.295753
Cameroon,25,Defender,NOUHOU Tolo,Tolo,NOUHOU,NOUHOU,23/06/1997,Seattle Sounders FC (USA),178,"Douala, Cameroon",4.0510564,9.7678687
Cameroon,26,Midfielder,MAROU Souaibou,Souaibou,MAROU,SOUAIBOU,3/12/2000,Coton Sport FC (CMR),180,"Garoua, Cameroon",9.322601599999999,13.393389
Canada,1,Goalkeeper,ST. CLAIR Dayne,Dayne Tristan,ST. CLAIR,ST. CLAIR,9/5/1997,Minnesota United FC (USA),191,"Pickering, Ontario, Canada",43.83841169999999,-79.0867579
Canada,2,Defender,JOHNSTON Alistair,Alistair William,JOHNSTON,JOHNSTON,8/10/1998,CF Montréal (CAN),180,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375
Canada,3,Defender,ADEKUGBE Sam,Samuel Ayomide,ADEKUGBE,ADEKUGBE,16/01/1995,Hatayspor (TUR),175,"London, England",51.5072178,-0.1275862
Canada,4,Defender,MILLER Kamal,Kamal Anthony,MILLER,MILLER,16/05/1997,CF Montréal (CAN),183,"Scarborough, Ontario, Canada",43.7764258,-79.2317521
Canada,5,Defender,VITORIA Steven,Steven,DE SOUSA VITÓRIA,VITORIA,11/1/1987,GD Chaves (POR),195,"Toronto, Canada",43.653226,-79.3831843
Canada,6,Midfielder,PIETTE Samuel,Samuel,PIETTE,PIETTE,12/11/1994,CF Montréal (CAN),171,"Le Gardeur, Quebec, Canada",45.7531515,-73.4702879
Canada,7,Midfielder,EUSTAQUIO Stephen,Stephen,EUSTÁQUIO,EUSTAQUIO,21/12/1996,FC Porto (POR),178,"Leamington, Canada",42.0531634,-82.5998874
Canada,8,Midfielder,FRASER Liam,Liam Scott,FRASER,FRASER,13/02/1998,KMSR Deinze (BEL),185,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,9,Forward,CAVALLINI Lucas,Lucas,CAVALLINI,CAVALLINI,28/12/1992,Vancouver Whitecaps FC (CAN),180,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,10,Midfielder,HOILETT Junior,David Wayne,HOILETT,HOILETT,5/6/1990,Reading FC (ENG),174,"Brampton, Ontario, Canada",43.7315479,-79.7624177
Canada,11,Forward,BUCHANAN Tajon,Tajon Trevor,BUCHANAN,BUCHANAN,8/2/1999,Club Brugge (BEL),183,"Brampton, Ontario, Canada",43.7315479,-79.7624177
Canada,12,Forward,UGBO Ike,Ike Dominique,UGBO,UGBO,21/09/1998,ES Troyes (FRA),185,"Lewisham, England",51.46115090000001,-0.0073177
Canada,13,Midfielder,HUTCHINSON Atiba,Atiba,HUTCHINSON,HUTCHINSON,8/2/1983,Besiktas JK (TUR),183,"Brampton, Ontario, Canada",43.7315479,-79.7624177
Canada,14,Midfielder,KAYE Mark-Anthony,Mark-Anthony,KAYE,KAYE,2/12/1994,Toronto FC (CAN),185,"Toronto, Ontario, Canada",43.653226,-79.3831843
Canada,15,Midfielder,KONE Ismael,Ismael Kenneth Jordan,KONE,KONE,16/06/2002,CF Montréal (CAN),188,"Abidjan, Ivory Coast",5.3599517,-4.0082563
Canada,16,Goalkeeper,PANTEMIS James,James,PANTEMIS,PANTEMIS,21/02/1997,CF Montréal (CAN),185,"Kirkland, Quebec, Canada",45.4560415,-73.8623337
